userName,score,content,at
Uma Pradhan,5,good,2026-02-20 07:29:13
علیرضا فلاحی,5,Nice,2026-02-20 07:28:23
Sheela Josh,4,repeated practice... I like this way,2026-02-20 07:28:05
SH HS,3,অনেক কিছু শিখতে চেষ্টা করছি,2026-02-20 07:27:17
ملینا مهدوی نیا,5,it's really helpful and good!,2026-02-20 07:27:01
Varsha Hashson,5,nice for beginners and very helpful to study,2026-02-20 07:25:08
Ladi J Legacy,5,"Easy to use, but check your spelling! Membership options available, user friendly, pronunciation, grammatical correction, and language arts available to help you learn ALL of ghd language, not just how to speak it. Have done German and Spanish with memory retention success. 5 stars.",2026-02-20 07:25:01
Davidson Owhonda,5,"I’ve been using Duolingo for [Number] days now, and my streak is my most prized possession. The gamified approach makes learning a new language feel like a hobby rather than a chore. The lessons are short enough to fit into a coffee break, and the AI pronunciation feedback is surprisingly helpful. Highly recommend for anyone looking to build a daily habit",2026-02-20 07:24:55
Mahak Taru,5,It is a good app and help improve your language,2026-02-20 07:24:14
Nikalai,5,best app,2026-02-20 07:21:57
Dynamit616,1,"Worst update ever, now you have energy that if you are not lucky you can do only 3 lessons (yeah you can do plus energy lesson but it takes time). And if you click too fast after each 5 questions the lesson is gonna restart without energy return (maybe only on a weak phone).",2026-02-20 07:17:41
Kris Moser,5,A great way to learn a new language as an adult.,2026-02-20 07:16:32
ambal sarath,4,good,2026-02-20 07:15:56
Ahmed Adel,5,very good👍,2026-02-20 07:15:01
vishnu varthan,4,very well,2026-02-20 07:10:44
Elias Situmbeko,5,This app is good,2026-02-20 07:09:08
Banita Mohanta,5,yes itz good 💯😊,2026-02-20 07:09:03
Pallavi makeover Dongare,5,muze nhi karna hai not interested free nhi hai ye,2026-02-20 07:06:41
Jordana Teixeira,5,Excellent interphase,2026-02-20 07:04:46
mahya,5,itsss cooollll,2026-02-20 07:03:41
CALL ME BABY,5,I like it,2026-02-20 07:03:39
thazin,5,good,2026-02-20 07:03:30
Sultan Ahmed,4,amazing but i want to choose 2 subjects but definitely download this game,2026-02-20 07:03:00
Hasan Mughal,1,Nice app,2026-02-20 07:02:34
Mithu Das,5,Wow its super 🙂😄,2026-02-20 06:58:53
Fatia Kyomuhendo,1,I give it a 1 because I don't see the chess feature though the languages are pretty good but chess is lacking!!!!,2026-02-20 06:57:53
Nemi chand Meghwal,5,Woww bahut badiya app h,2026-02-20 06:57:16
Umer Farooq,5,best app for learning languages,2026-02-20 06:56:59
Samiyar Rastegar,5,very good,2026-02-20 06:56:41
さくら,5,great,2026-02-20 06:50:03
Syed Bilal Hassan,5,Good app to learn languages,2026-02-20 06:48:57
Michael Fazio,1,Remove the Flashcards! I'm a paying member but I'm reaching the end of my patience. The flashcards never like my pronunciation while I have zero issues speaking through other variations of lessons. There is no way to skip them once you start so it makes lessons drag on 2x longer.,2026-02-20 06:48:55
dan Blak,5,very nice learning app.youcan become a wizard of many languages using this app😁👌💯,2026-02-20 06:48:50
Moon Ans,5,need a little bit longer lessons,2026-02-20 06:48:12
Alex Tralex,5,so fun I'd learned Japanese so I can go there and talk to to friends,2026-02-20 06:47:04
Visheswar Ram,5,very good app,2026-02-20 06:43:47
parham reyhani,5,that's amazing,2026-02-20 06:42:33
Alvin Marfo,5,It's ok. But add some more subjects to make it fun to learn with Duolingo.,2026-02-20 06:41:22
Sehaj Sehaj,5,this app is realy helpful for children I like it,2026-02-20 06:41:21
Jang Kids,4,Duolingo is a very easy way to learn different languages 😊👍,2026-02-20 06:40:59
Sumitra Singha,5,এখানকার পড়ানোর বুদ্ধি অনেক ভালো ।,2026-02-20 06:40:59
Padam Banshode,3,ads bahut hai or primium mahnga hai,2026-02-20 06:39:39
Aman Kumar,5,it's good it's very easy to improve your English and confidence thanks Duolingo,2026-02-20 06:38:39
Sareen Aslam,5,good language teaching,2026-02-20 06:37:15
mojtba abdhla,4,it's very useful for and you learn fast,2026-02-20 06:35:59
Safu Safwat,5,it helped me learn Japanese!,2026-02-20 06:35:57
Keerthi Komera,3,super,2026-02-20 06:35:18
zahra,5,👍 great,2026-02-20 06:31:05
Tanobwa Grace,5,incredible,2026-02-20 06:30:50
Kaleem Dabre,1,the app flopped sorry not sorry xx,2026-02-20 06:29:41
Sana Qureshi,5,Duolingo app is very good for languages,2026-02-20 06:28:25
shaheen shobuz,5,Good job for all human,2026-02-20 06:24:05
Milan Lohar,5,great,2026-02-20 06:23:46
Shabbir Ahmad,5,Good,2026-02-20 06:20:56
Durga Bhavani G,5,superb app,2026-02-20 06:19:38
Nisha Nisha,4,it's intresting ✨,2026-02-20 06:19:22
Mamtha Vivek,5,it's a mind refreshing app to learn the languages of what we want. I am loving the app,2026-02-20 06:18:36
Rocio Lopez,3,te hace aprender pero sus lecciones son muy fáciles pero depende de como seas,2026-02-20 06:15:34
Ramesh Chand,1,"Time Waste just go And Learn with books or YouTube or Ai, don't waste your time on this app",2026-02-20 06:15:07
Waqas Ahmad,5,wow this app is amazing 🤩 I learn Japanese from this app and now I can speak Japanese,2026-02-20 06:14:48
Sein Maleakhi,5,aku bisa belajar tanpa si sekolah,2026-02-20 06:14:17
amarachi Ozonweke,5,soooo much fun,2026-02-20 06:12:55
Kion Muchecheterwa,5,good app,2026-02-20 06:12:47
Rania Kazi,5,well I am learning chess to beat my brother and duo helps me practice with precise moves,2026-02-20 06:12:29
Lorence Mahoo,5,"I am absolutely loving my experience with Duolingo! The gamified approach makes learning feel less like a chore and more like a daily challenge I actually want to complete. My favorite feature is definitely the 'tap to speak' exercises—it’s one thing to read a language, but being prompted to actually speak it out loud has improved my confidence so much. The app is amazing at pushing you to stay consistent and keep your streak alive. If you want to learn a language while having fun.",2026-02-20 06:11:25
Naryyn,4,"is a great app, but it may need to be simpler.",2026-02-20 06:10:08
Debu S,5,super very very nice to learn and very easy to learn,2026-02-20 06:09:43
DEEPENDRA SALLAM,2,"The way of learning is very nice but it doesn't meet my actual level, it always give very basic words to learn, i think this is only for beginners",2026-02-20 06:08:53
Mahesh Yadav,4,👍😊,2026-02-20 06:06:54
Hewaliyanage Nishanthi,1,For chess players it doesn't give a chance to accept or give draw and doesn't match matches properly and for languages it has a limited hearts 3 hearts and after that we must watch ads and play mini leasons,2026-02-20 06:06:23
Prikshana Yadav,5,👍,2026-02-20 06:05:32
Joseph Kiger,5,It's helping me learn chess and languages that I don't know,2026-02-20 06:05:18
Sigma Boy,5,English learning Best app. thanks Duolingo 👍👍👍💯💯💯,2026-02-20 06:04:56
Rathour Ankit,3,💅,2026-02-20 06:04:48
Muhammad Feroz,5,best learning app ever.,2026-02-20 06:03:52
Anas Mansoori,4,loving,2026-02-20 06:01:49
Ariana,5,love it it is helpful for me,2026-02-20 06:01:10
Ravi Batham,5,best app hai,2026-02-20 06:00:02
Mora Ka,5,I love this app sm,2026-02-20 05:57:03
Utari Darmastuti_22_054,5,really good,2026-02-20 05:56:52
jonaed hassan,1,good,2026-02-20 05:51:15
Bonaventure Chisanga,5,This is the best language learning app I have ever seen,2026-02-20 05:50:42
Bhavesh Adhikari,5,I'm just using it for Japanese and it's really good 👍😊,2026-02-20 05:47:13
Dominic DeJesus,5,It teaches me stuff and I can finally learn Spanish,2026-02-20 05:45:34
Ali KÖK,5,"Perfect,",2026-02-20 05:44:36
Uditha Hirushan Ranasinghe,5,"💭I think ,it is soooooo goooood! 🇱🇰🇰🇷",2026-02-20 05:43:42
Park basmala,5,"it's an amazing app, I really enjoy learning on it.",2026-02-20 05:43:04
Hadeer Gaber,5,very good,2026-02-20 05:40:45
Pouria Asghari,5,very nice,2026-02-20 05:40:36
Rekha Giri,5,I love this app and it's effective now I can speak various languages and practice chess and maths,2026-02-20 05:38:50
Tanveer Hussain,5,it's good app,2026-02-20 05:37:18
MD Chaim Khan,5,good,2026-02-20 05:37:04
Eden Armstrong,1,"The app now freezes at install and I'm about to loose my streak which was almost at 1000 days. I've tried every fix but none work. Don't bother with this app. app was OK before. Over the last few months the changes have made it unbearable, you can't practice to earn hearts, you'll not learn a language from the app and the new music and math lessons are awful. The only thing that keeps me going is obsessive compulsive disorder. I would not recommend this app to anyone.",2026-02-20 05:35:30
Vansh,3,this app is best for learning languages and skills like chess,2026-02-20 05:34:12
Mallesh Yadav (Míkéy),4,"really a great app to stay consistent on learning new language. but ads irritates me, so super is good for without ads an timer...",2026-02-20 05:31:48
Aradhya Puri,5,it's to good to any language,2026-02-20 05:30:31
Akash Barman,3,good,2026-02-20 05:30:19
Zusimo jr Moniba,5,"I really like it, maybe daughter use it to know other language it's really helpful to her mental health",2026-02-20 05:30:09
S.P. Mishra,5,Interesting,2026-02-20 05:29:02
Syed Zain Abbas,5,"excellent app for those who have aleadt learnt a language, but for the beginners it should start from the alphabets from the scratch.",2026-02-20 05:27:29
Aaditya Yadav,5,awesome 😎,2026-02-20 05:26:12
Laiza Martin,5,oh my God beautiful,2026-02-20 05:23:16
mehrish nawer,5,Like...i just learn some words and sentences in 5 days! I really like this app..,2026-02-20 05:21:36
Sdb Star,4,very good except the limited use its sad,2026-02-20 05:17:38
Duwayne Cowney,5,such a fun app to learn a new language with. The app itself is well developed,2026-02-20 05:16:36
T E,1,"uninstalled because of the icon perpetually turning hideous when I don't use the app. if I want to offer my limited attention, I'll turn notifications on. stop doing this",2026-02-20 05:15:24
Dawoodsha Salman,5,it was helpful,2026-02-20 05:14:18
Amit Parashar,5,Nice,2026-02-20 05:11:52
VSM legend,5,🙏,2026-02-20 05:11:50
RANJAN KUMAR SAHU,2,"This is good app for learning but it wasnt helpful for me as it forces you to write the language as well all i wanted to do is speak fluently ,I didnt wanted to learn writing",2026-02-20 05:11:39
Tanu Rajbhar,4,it is good but it take 💰😡,2026-02-20 05:11:23
Uma Sharma,5,this is very best learning game,2026-02-20 05:10:21
Dhamaka gaming channel,4,super,2026-02-20 05:10:16
Chaudhary Anjali Malik,5,good 👍🏻,2026-02-20 05:09:17
Lucas Houley,5,"Absolutely Amazing, Super Simple and there a so many understanding courses it is just awesome. My Recommendation on duolingo at its simplest:10 Out Of 10!",2026-02-20 05:03:05
Labid Hasan,5,তোমরা এভাবে এগিয়ে যাও তোমাদের লেসন গুলো অনেক সুন্দর,2026-02-20 05:01:44
Tanha Sheikh,5,very very nice app,2026-02-20 05:01:26
Abdul Wahab,5,very nice and easy way for learning,2026-02-20 05:01:00
Senul Lithmaka,5,Good app to learn new languages.This not like a school.,2026-02-20 05:00:46
Tejas Shreyas,5,best app for learning but please stop ads of super for kids they can do something which harms the mobile/phone but still its good,2026-02-20 04:56:24
Jeffrey,5,ilkeit,2026-02-20 04:54:50
ajay thakur,5,good,2026-02-20 04:53:20
Ahmed mostafa ramzi,5,التطبيق دا بحبه جدا وانصح كل اللي عايز يتعلم لغة جديدة يجربه حالا ويستاهل اكتر من خمس نجوم,2026-02-20 04:52:14
Neil B,2,I didn't upgrade to super to remove ads just to get ads from Duo itself to now upgrade to max or super family. And its not about learning a langeuege but staying in a league and maintaining a streak.,2026-02-20 04:51:20
Welcome Walton,4,app is fine,2026-02-20 04:49:33
Tulsi Bisht,5,wow it help me so much with chess ♟️,2026-02-20 04:49:10
Nikhil Gedam,5,Useful app,2026-02-20 04:43:44
Emberli Carter,4,It provides enough repetition while slowly introducing new words and phrases while ALSO providing context to the situation you would use said words/phrases. Me and my bf are already talking to each other in Italian to prepare for our trip in 2030! I definitely recommend it! My only pet peeve is I could say something for the speach practice EXACTLY THE SAME AS THE AUDIO and it will still tell me I am incorrect.,2026-02-20 04:43:05
Sakhina Sukhi,5,this app helped me a lot,2026-02-20 04:41:33
Jorge jr Carrasco,5,it is very good I like that it can tach you anything and it is very educational,2026-02-20 04:40:30
Nasif Billah,5,"Soo, best app.",2026-02-20 04:39:05
Laxman Raj Basnet (beardo),5,awesome,2026-02-20 04:38:06
Kenji Marcelino,4,"Very helpful app,you can learn almost anything math, chess,music, languages and more",2026-02-20 04:37:51
Rishabh Chahal,5,nice,2026-02-20 04:37:27
Marwan Alam,5,amazing,2026-02-20 04:37:15
Abhijot Bawa,5,best app for learning language,2026-02-20 04:34:31
BO0O0O0O0O0O0,5,been enjoying and actually learning for 42 days now. would be nice if there was an option for landscape on tablets. some tablets aren't as comfortable to hold for extended periods in portrait mode.,2026-02-20 04:31:48
Vandana Chundawat,5,good,2026-02-20 04:31:39
Gulabsha Parween,5,I am happy duolingo app pae sikh kar aur kuch janna hai,2026-02-20 04:30:24
FAIZ,5,good,2026-02-20 04:28:54
Farjina Khatun,5,very nice,2026-02-20 04:28:06
Hemanth Tammina,1,"worst app , a lot of glitches, i recharged my exp with diamonds but the exp jus disappeared.",2026-02-20 04:26:28
Yarebun Yare,5,"aku sangat menguasai bahasa Inggris, berkat belajar dari Duolingo",2026-02-20 04:25:52
Zain Awan,5,The best app to learn is Duolingo,2026-02-20 04:25:34
Marianna Pieterse,5,this is the best learning app I have ever used and it is also very good because you can choose how long you want to practice per day or week and their pronunciation is also very good and good enough to hear what they say and they have such a good teaching way I rate this app ⭐⭐⭐⭐⭐/⭐⭐⭐⭐⭐,2026-02-20 04:25:14
